Title,URL,Description
Supernet Pakistan unlocks global service offering through SatADSL’s neXat Platform,https://www.techjuice.pk/,['https://www.techjuice.pk/supernet-pakistan-unlocks-global-service-offering-through-satadsls-nexat-platform/'],"Supernet Limited (“Supernet”), Pakistan’s largest satellite communications systems integrator and service provider, and Belgium-based SatADSL S.A. (“SatADSL”) jointly announced..."
Mastercard partners with Ravi Urban Development Authority to build cashless economic zone,https://www.techjuice.pk/,['https://www.techjuice.pk/mastercard-partners-with-ravi-urban-development-authority-to-build-cashless-economic-zone/'],Mastercard has signed a strategic partnership with Pakistan’s Ravi Urban Development Authority (RUDA) to transform the community into a...
realme Announces Three Technological World Firsts at realme GT 2 Series Event,https://www.techjuice.pk/,['https://www.techjuice.pk/realme-announces-three-technological-world-firsts-at-realme-gt-2-series-event/'],"realme, the world’s fastest-growing smartphone brand, today officially introduced three world premiere technologies at realme GT 2 Series Special..."
Jiye Technologies raises $2.5 million in pre-seed funding; rolls out expansion across Pakistan’s major cities,https://www.techjuice.pk/,['https://www.techjuice.pk/jiye-technologies-raises-2-5-million-in-pre-seed-funding-rolls-out-expansion-across-pakistans-major-cities/'],"Pakistan-based agri-supply chain platform, Jiye Technologies has raised $2.5 million in its pre-seed funding round.  The round saw participation..."
realme gave the entry-level market a real quality overhaul with its C-Series,https://www.techjuice.pk/,['https://www.techjuice.pk/realme-gave-the-entry-level-market-a-real-quality-overhaul-with-its-c-series/'],realme’s entry-level C-Series is synonymous with being budget-friendly. But that’s not all it offers. The league of stellar phones...
ilmX launches in Pakistan with online Workplace Harassment Training,https://www.techjuice.pk/,['https://www.techjuice.pk/ilmx-launches-in-pakistan-with-online-workplace-harassment-training/'],"Given the social climate in Pakistan, understanding and addressing the concept of harassment, in all of its forms, is..."
Bank Alfalah and Dastgyr entered into a strategic partnership to digitize transaction streams via BAFL Digital channels,https://www.techjuice.pk/,['https://www.techjuice.pk/bank-alfalah-and-dastgyr-entered-into-a-strategic-partnership-to-digitize-transaction-streams-via-bafl-digital-channels/'],"Bank Alfalah and Dastgyr Technologies have entered into a strategic partnership to facilitate SMEs, merchants and their allied supply..."
Higher education commission (HEC) and Microsoft sign an Education Transformation Agreement (ETA) geared towards education advancement in Pakistan,https://www.techjuice.pk/,['https://www.techjuice.pk/higher-education-commission-hec-and-microsoft-sign-an-education-transformation-agreement-eta-geared-towards-education-advancement-in-pakistan/'],Higher Education Commission (HEC) and Microsoft in Pakistan have renewed the Education Transformation Agreement (ETA). Both organizations partnered once...
foodpanda celebrates its riders by unveiling the vibrant new ‘Rider Kit’,https://www.techjuice.pk/,['https://www.techjuice.pk/foodpanda-celebrates-its-riders-by-unveiling-the-vibrant-new-rider-kit/'],"foodpanda, Pakistan’s leading food delivery platform, and e-commerce company, exhibited its latest Rider Kit at an exciting launch event..."
Bike Rides Made Safe with Customers’ Life Insurance,https://www.techjuice.pk/,['https://www.techjuice.pk/bike-rides-made-safe-with-customers-life-insurance/'],"Considering the high rate of motorbike accidents and the road safety situation in the country, the widely popular ride-hailing..."
"Telenor, UNICEF hand over digital birth registration system to Sindh",https://www.techjuice.pk/,['https://www.techjuice.pk/telenor-unicef-hand-over-digital-birth-registration-system-to-sindh/'],"With the help of innovative technology, Telenor Pakistan and UNICEF have joined hands to hand over the Digital Birth..."
Pakistani executive among top 20 IT leaders at World CIO 200 Summit,https://www.techjuice.pk/,['https://www.techjuice.pk/pakistani-executive-among-top-20-it-leaders-at-world-cio-200-summit/'],Muhammad Umar Ilyas of Group EVP – Data Centre and Technology Operations (PTCL and Ufone) has bagged a global...
HBL launches Pakistan’s first credit card transactions via mobile through HBL Pay,https://www.techjuice.pk/,['https://www.techjuice.pk/hbl-launches-pakistans-first-credit-card-transactions-via-mobile-through-hbl-pay/'],HBL in its pivot towards becoming a ‘Technology Company with a Banking License’ has become the first bank in...
